,A* cost to goal (dependant),State,x distance,y distance
435,-3.0,FORWARD,4,3
436,-12.0,FORWARD,3,3
437,-21.0,FORWARD,2,3
438,-32.0,FORWARD,1,3
439,-42.0,RIGHT,0,3
440,-52.0,FORWARD,0,3
441,-65.0,BASH,0,2
442,-79.0,FORWARD,0,1
443,1.0,Goal,0,0
444,16.0,Start,3,4
445,10.0,LEFT,3,4
446,4.0,LEFT,3,4
447,-2.0,BASH,3,4
448,-13.0,FORWARD,2,4
449,-23.0,RIGHT,1,4
450,-34.0,BASH,1,4
451,-50.0,FORWARD,1,3
452,-65.0,FORWARD,1,2
453,-81.0,LEFT,1,1
454,-98.0,FORWARD,1,1
455,-114.0,RIGHT,0,1
456,-130.0,FORWARD,0,1
457,1.0,Goal,0,0
458,37.0,Start,3,8
459,27.0,LEFT,3,8
460,17.0,FORWARD,3,8
461,-4.0,BASH,3,7
462,-27.0,FORWARD,3,6
463,-49.0,FORWARD,3,5
464,-75.0,BASH,3,4
465,-104.0,FORWARD,3,3
466,-136.0,BASH,3,2
467,-170.0,FORWARD,3,1
468,-204.0,RIGHT,3,0
469,-239.0,FORWARD,3,0
470,-275.0,BASH,2,0
471,-317.0,FORWARD,1,0
472,1.0,Goal,0,0
473,8.0,Start,1,2
474,6.0,RIGHT,1,2
475,4.0,FORWARD,1,2
476,-4.0,LEFT,1,1
477,-13.0,FORWARD,1,1
478,-21.0,RIGHT,0,1
479,-29.0,FORWARD,0,1
480,1.0,Goal,0,0
481,1.0,Start,1,1
482,0.0,RIGHT,1,1
483,-1.0,FORWARD,1,1
484,-2.0,RIGHT,1,0
485,-3.0,FORWARD,1,0
486,1.0,Goal,0,0
487,0.0,Start,0,1
488,0.0,LEFT,0,1
489,0.0,FORWARD,0,1
490,1.0,Goal,0,0
491,14.0,Start,3,1
492,11.0,FORWARD,3,1
493,2.0,LEFT,2,1
494,-9.0,FORWARD,2,1
495,-21.0,RIGHT,2,0
496,-34.0,BASH,2,0
497,-54.0,FORWARD,1,0
498,1.0,Goal,0,0
499,1.0,Start,0,2
500,0.0,LEFT,0,2
501,-1.0,FORWARD,0,2
502,-2.0,FORWARD,0,1
503,1.0,Goal,0,0
504,23.0,Start,6,0
505,18.0,BASH,6,0
506,2.0,FORWARD,5,0
507,-14.0,FORWARD,4,0
508,-32.0,BASH,3,0
509,-59.0,FORWARD,2,0
510,-83.0,FORWARD,1,0
511,1.0,Goal,0,0
512,11.0,Start,1,4
513,7.0,LEFT,1,4
514,3.0,LEFT,1,4
515,-1.0,FORWARD,1,4
516,-7.0,RIGHT,0,4
517,-14.0,BASH,0,4
518,-26.0,FORWARD,0,3
519,-36.0,BASH,0,2
520,-47.0,FORWARD,0,1
521,1.0,Goal,0,0
522,13.0,Start,2,3
523,9.0,FORWARD,2,3
524,3.0,RIGHT,1,3
525,-4.0,FORWARD,1,3
526,-13.0,BASH,1,2
527,-31.0,FORWARD,1,1
528,-44.0,LEFT,1,0
529,-58.0,FORWARD,1,0
530,1.0,Goal,0,0
531,17.0,Start,1,5
532,12.0,RIGHT,1,5
533,7.0,BASH,1,5
534,-10.0,FORWARD,1,4
535,-22.0,BASH,1,3
536,-38.0,FORWARD,1,2
537,-53.0,FORWARD,1,1
538,-70.0,RIGHT,1,0
539,-88.0,FORWARD,1,0
540,1.0,Goal,0,0
541,9.0,Start,2,1
542,7.0,BASH,2,1
543,0.0,FORWARD,1,1
544,-9.0,LEFT,0,1
545,-19.0,FORWARD,0,1
546,1.0,Goal,0,0
547,11.0,Start,2,3
548,7.0,RIGHT,2,3
549,3.0,BASH,2,3
550,-4.0,FORWARD,2,2
551,-10.0,FORWARD,2,1
552,-21.0,LEFT,2,0
553,-33.0,FORWARD,2,0
554,-44.0,FORWARD,1,0
555,1.0,Goal,0,0
556,22.0,Start,4,6
557,13.0,BASH,4,6
558,-5.0,FORWARD,3,6
559,-18.0,LEFT,2,6
560,-32.0,FORWARD,2,6
561,-45.0,FORWARD,2,5
562,-60.0,BASH,2,4
563,-77.0,FORWARD,2,3
564,-96.0,BASH,2,2
565,-123.0,FORWARD,2,1
566,-145.0,RIGHT,2,0
567,-168.0,FORWARD,2,0
568,-190.0,FORWARD,1,0
569,1.0,Goal,0,0
570,15.0,Start,3,3
571,10.0,LEFT,3,3
572,5.0,LEFT,3,3
573,0.0,BASH,3,3
574,-12.0,FORWARD,2,3
575,-19.0,FORWARD,1,3
576,-31.0,RIGHT,0,3
577,-46.0,BASH,0,3
578,-67.0,FORWARD,0,2
579,-82.0,FORWARD,0,1
580,1.0,Goal,0,0
581,12.0,Start,3,3
582,7.0,LEFT,3,3
583,2.0,FORWARD,3,3
584,-5.0,LEFT,3,2
585,-13.0,FORWARD,3,2
586,-22.0,BASH,2,2
587,-33.0,FORWARD,1,2
588,-43.0,RIGHT,0,2
589,-53.0,BASH,0,2
590,-67.0,FORWARD,0,1
591,1.0,Goal,0,0
592,7.0,Start,1,3
593,4.0,LEFT,1,3
594,1.0,LEFT,1,3
595,-2.0,FORWARD,1,3
596,-7.0,RIGHT,0,3
597,-13.0,FORWARD,0,3
598,-18.0,BASH,0,2
599,-30.0,FORWARD,0,1
600,1.0,Goal,0,0
601,19.0,Start,4,5
602,11.0,LEFT,4,5
603,3.0,FORWARD,4,5
604,-7.0,FORWARD,4,4
605,-16.0,FORWARD,4,3
606,-27.0,LEFT,4,2
607,-39.0,FORWARD,4,2
608,-52.0,BASH,3,2
609,-74.0,FORWARD,2,2
610,-91.0,RIGHT,1,2
611,-109.0,BASH,1,2
612,-131.0,FORWARD,1,1
613,-150.0,LEFT,1,0
614,-169.0,FORWARD,1,0
615,1.0,Goal,0,0
616,0.0,Start,1,0
617,0.0,FORWARD,1,0
618,1.0,Goal,0,0
619,23.0,Start,2,8
620,14.0,LEFT,2,8
621,5.0,FORWARD,2,8
622,-6.0,FORWARD,2,7
623,-16.0,BASH,2,6
624,-31.0,FORWARD,2,5
625,-43.0,LEFT,2,4
626,-55.0,BASH,2,4
627,-77.0,FORWARD,1,4
628,-93.0,RIGHT,0,4
629,-110.0,BASH,0,4
630,-134.0,FORWARD,0,3
631,-157.0,BASH,0,2
632,-186.0,FORWARD,0,1
633,1.0,Goal,0,0
634,13.0,Start,4,2
635,8.0,LEFT,4,2
636,3.0,FORWARD,4,2
637,-4.0,RIGHT,4,1
638,-12.0,FORWARD,4,1
639,-21.0,LEFT,3,1
640,-31.0,FORWARD,3,1
641,-40.0,RIGHT,3,0
642,-49.0,FORWARD,3,0
643,-61.0,BASH,2,0
644,-75.0,FORWARD,1,0
645,1.0,Goal,0,0
646,1.0,Goal,0,0
